question,actual_response,predicted_response,actual_answer,predicted_answer,is_correct
"Mr. Ray has 100 customers waiting at his fish market. He has 10 tuna, each of which weighs 200 pounds. Each customer wants 25 pounds of tuna. Mr. Ray's store is first come, first served. How many customers will go home without any fish?","He has 2,000 pounds of fish because 10 x 200 = <<10*200=2000>>2,000
He has enough for 80 customers because 2,000 / 25 = <<2000/25=80>>80
20 customers go home without any fish because 100 - 80 = <<100-80=20>>20
#### 20","To find out how many customers can be served, we need to calculate the total amount of tuna available. Mr. Ray has 10 tuna, each weighing 200 pounds. So the total weight of tuna is 10 x 200 = 2000 pounds.

Each customer wants 25 pounds of tuna. To find out how many customers can be served, we divide the total weight of tuna by the amount each customer wants: 2000 / 25 = 80 customers.

Since there are 100 customers waiting, and only 80 can be served, 100 - 80 = 20 customers will go home without any fish. The answer is 20.",20,20.0,True
Jack buys a squat rack for $2500.  The barbell cost 1/10 as much.  How much did he pay for everything?,"The barbell cost 2500/10=$<<2500/10=250>>250
So he paid 2500+250=$<<2500+250=2750>>2750 for everything
#### 2750","To find the cost of the barbell, we need to calculate 1/10 of the cost of the squat rack. 
1/10 of $2500 is $250.

The total cost for the squat rack and the barbell is $2500 + $250 = $2750.

So, Jack paid $2750 for everything.",2750,2750.0,True
"Lana and her friends go to a theater on the weekend to watch a new play Joan told them was live. When they arrived, Lana saw 100 cars in the front parking lot. She saw two times more vehicles at the back than there were in the front parking lot. If the total number of cars at the end of the play was 700, how many more cars packed into the parking lot during the play?","The number of cars in the back parking lot was 100*2 = <<100*2=200>>200 times more than those in the front parking lot.
There were 200+100 = <<200+100=300>>300 cars in the back parking lot.
A total of 300+100 = <<300+100=400>>400 cars were present before the play began
The total number of cars that parked in the theater during the play is 700-400 = <<700-400=300>>300 cars
#### 300","To find out how many cars were initially in the parking lot, we need to calculate the total number of cars in the front and back parking lots. 

Since there are 100 cars in the front parking lot, and there are 2 times more cars in the back, we multiply 100 by 2 to get the number of cars in the back: 100 * 2 = 200.

Now, we add the number of cars in the front and back parking lots: 100 + 200 = 300.

The total number of cars at the end of the play is 700. To find out how many cars packed into the parking lot during the play, we subtract the initial number of cars from the total number of cars: 700 - 300 = 400.

So, 400 more cars packed into the parking lot during the play.",300,400.0,False
"Mrs. Brynlee reduced the prices of items in her store by 20% after the local government gave small businesses in her county a subsidy. If the price of a shirt in the store was $60 and that of the leather jacket was $90, calculate the amount of money Teagan will pay for buying 5 shirts and 10 leather jackets at the reduced prices.","If the price of a shirt in the store was $60, its price was reduced by 20/100*$60=$<<60*20/100=12>>12
The price of a shirt was reduced to $60-$12=$<<60-12=48>>48
Teagan will pay $48*5= $<<48*5=240>>240 for buying 5 shirts
If the initial price of the leather jacket was $90, the price reduced by 20/100*$90=$<<90*0.2=18>>18
The final leather jacket after Mrs. Brynlee reduced the price by 20% is $90-$18=$<<90-18=72>>72
Teagan will pay $72*10= $<<72*10=720>>720 for buying 10 leather jackets
The amount of money Teagan paid to Mrs. Brynlee for the shirts and the leather jackets is $720+$240=$<<720+240=960>>960
#### 960","To find the reduced prices, we'll calculate 20% of the original prices and subtract it from the original prices.

Original price of the shirt: $60
20% of $60 = 0.20 * $60 = $12
Reduced price of the shirt: $60 - $12 = $48

Original price of the leather jacket: $90
20% of $90 = 0.20 * $90 = $18
Reduced price of the leather jacket: $90 - $18 = $72

Now, let's calculate the total amount Teagan will pay for 5 shirts and 10 leather jackets at the reduced prices.

Total cost of 5 shirts: 5 * $48 = $240
Total cost of 10 leather jackets: 10 * $72 = $720

Total amount Teagan will pay: $240 + $720 = $960

The answer is $960.",960,960.0,True
"Frank has 7 one-dollar bills, 4 five-dollar bills, 2 ten-dollar bills, and 1 twenty-dollar bill. He goes to buy peanuts, which cost $3 a pound. He buys what he wants and has $4 in change. He plans to eat the peanuts all in one week. How many pounds does he eat on average per day?","Frank has $7 in one dollar bills because 7 x 1 = <<7*1=7>>7
Frank has $20 in five dollar bills because 4 x 5 = <<20=20>>20
Frank has $20 in ten dollar bills because 2 x 10 = <<2*10=20>>20
Frank has 67 dollars in total because 7 + 20 + 20 + 20 = <<7+20+20+20=67>>67
Frank spent $63 because 67 - 4 = <<67-4=63>>63
Frank bought 21 pounds of peanuts because 63 / 3 = <<63/3=21>>21
He eats 3 pounds a day on average because 21 / 7 = <<21/7=3>>3
#### 3","To find out how much Frank spent on peanuts, we need to subtract the change from the total amount of money he had initially.

Frank had 7 * $1 + 4 * $5 + 2 * $10 + 1 * $20 = $7 + $20 + $20 + $20 = $67.

He spent $67 - $4 = $63 on peanuts.

Since Frank ate the peanuts in a week, let's find out how many pounds he ate in a week. 

The cost of peanuts is $3 per pound. So, the total pounds Frank ate in a week is $63 / $3 = 21 pounds.

To find the average pounds per day, we divide the total pounds by the number of days in a week (7). 

21 pounds / 7 days = 3 pounds per day.

The answer is 3 pounds per day.",3,3.0,True
"Amy's grandfather gave her $100 for her birthday. Amy bought 3 dolls, each of which cost $1. How much money does Amy have left?","The cost of the dolls is 3 × $1 = $<<3*1=3>>3.
Amy has $100 − $3 = $97 left.
#### 97","Amy started with $100. She bought 3 dolls, each costing $1. So, she spent 3 x $1 = $3. 

To find out how much money Amy has left, subtract the amount she spent ($3) from the initial amount ($100). 

$100 - $3 = $97

Amy has $97 left.",97,97.0,True
"Ronald wants to make profits by re-selling some phones he bought a week ago. He bought 200 units for just $3000, and he wants to gain a third of the initial investment in profits when all units are sold. Including the profit margin, what will be the selling price for each phone?","The profit Ronald wants is $3000 / 3 = $<<3000/3=1000>>1000
The profit per phone sold will be $1000 / 200 phones = $<<1000/200=5>>5/phone
The cost of each phone is $3000 / 200 phones = $<<3000/200=15>>15/phone
The selling price including the profit will be $15/phone + $5/phone = $<<15+5=20>>20
#### 20","Ronald wants to gain a third of his initial investment as profit. His initial investment was $3000. 

To find the profit, multiply the initial investment by 1/3: 
$3000 * (1/3) = $300

So, the total amount he wants to make from selling the phones is the initial investment plus the profit: 
$3000 + $300 = $3300

Ronald bought 200 units for $3000, so the selling price for each unit will be the total amount he wants to make divided by the number of units: 
$3300 / 200 = $16.50

The selling price for each phone will be $16.50.",20,16.5,False
"Cyrus has been contracted to write a 500 page book.  On his first day, he writes 25 pages and twice that amount on the second day.  On the third day he is able to write twice the amount that he did on the second day.  On the fourth day, he gets writer's block and is only able to write 10 pages.  How many more pages does he need to write?","On the second day he wrote twice the amount as the first day, which was 25 pages so 2*25 = <<2*25=50>>50 pages
On the third day he wrote twice the amount as he did on the second day, which was 50 pages so 2*50 = <<2*50=100>>100 pages
The first day he wrote 25, then 50, then 100 and 10 on the fourth day for a total of 25+50+100+10 = <<25+50+100+10=185>>185
He needs to write 500 pages and has written 185 which means he has 500-185 = <<500-185=315>>315 more pages to write
#### 315","To find out how many pages Cyrus has written, let's break it down:

- Day 1: 25 pages
- Day 2: 2 * 25 = 50 pages
- Day 3: 2 * 50 = 100 pages
- Day 4: 10 pages

Total pages written: 25 + 50 + 100 + 10 = 185 pages

Since Cyrus needs to write a 500-page book, he needs to write 500 - 185 = 315 more pages.",315,315.0,True
"Harvey and his friend Sam decided to run a footrace in their school track field to see who was better at running. While at it, Harvey runs 8 miles more than his friend Sam, who runs a total of 12 miles. Calculate the total number of miles the two friends run together.","If Harvey ran 8 more miles, then he ran a total of 12 miles + 8 miles = <<12+8=20>>20 miles.
The two friends ran a total of 20 miles + 12 miles = <<20+12=32>>32 miles
#### 32","To find the total number of miles run, we need to know how many miles Harvey runs. Since Harvey runs 8 miles more than Sam, and Sam runs 12 miles, Harvey runs 12 + 8 = 20 miles.

The total number of miles run by both friends is 12 (Sam) + 20 (Harvey) = 32 miles.

The answer is 32.",32,32.0,True
Jake delivers 234 newspapers a week. Miranda delivers twice as many newspapers a week. How many more newspapers does Miranda deliver than Jake in a month?,"Jake delivers 234 x 4 = <<234*4=936>>936 newspapers in a month.
Miranda delivers 234 x 2 = <<234*2=468>>468 newspapers in a week.
So she delivers 468 x 4 = <<468*4=1872>>1872 newspapers in a month.
Hence, Miranda delivers 1872 - 936 = <<1872-936=936>>936 newspapers more than Jake in a month.
#### 936","Since there are 4 weeks in a month, we need to find out how many newspapers Jake delivers in a month. Jake delivers 234 newspapers per week, so in a month, he delivers 234 * 4 = 936 newspapers.

Miranda delivers twice as many newspapers as Jake, so she delivers 234 * 2 = 468 newspapers per week. In a month, Miranda delivers 468 * 4 = 1872 newspapers.

To find out how many more newspapers Miranda delivers than Jake in a month, we need to subtract Jake's total from Miranda's total. 1872 - 936 = 936.

The answer is 936.",936,936.0,True
"Martha is making centerpieces for her Thanksgiving dinner. There are six centerpieces, and each centerpiece uses 8 roses, twice as many orchids as roses, and a certain number of lilies. If Martha wants to spend $2700 total, and each flower costs $15, how many lilies will she put in each centerpiece?","First figure out how many total flowers Martha is going to buy by dividing her total spending by the price per flower: $2700 / $15/flower = <<2700/15=180>>180 flowers
Now figure out how many flowers are in each centerpiece by dividing the total number of flowers by the number of centerpieces: 180 flowers / 6 centerpieces = <<180/6=30>>30 flowers / centerpiece
Now figure out how many orchids are in each centerpiece by multiplying the number of roses per centerpiece by 2: 8 roses/centerpiece * 2 = <<8*2=16>>16 orchids/centerpiece
Now subtract the number of roses and orchids per centerpiece from the total number of flowers per centerpiece to find the number of lilies per centerpiece: 30 flowers - 16 orchids - 8 roses = <<30-16-8=6>>6 lilies
#### 6","Let's start by finding the total number of roses and orchids in the six centerpieces. Each centerpiece has 8 roses. So, the total number of roses is 6 * 8 = 48 roses. Since there are twice as many orchids as roses, the total number of orchids is 2 * 48 = 96 orchids.

The total cost of roses and orchids is 48 * $15 + 96 * $15 = $720 + $1440 = $2160. This leaves $2700 - $2160 = $540 for lilies.

Since there are 6 centerpieces, the total number of lilies will be $540 / $15 = 36 lilies. To find out how many lilies will be in each centerpiece, we divide 36 by 6: 36 / 6 = 6.

The answer is 6 lilies per centerpiece.",6,6.0,True
"The distance between Robin's house and the city center is 500 meters. He leaves the house to go to the city center. After he walks 200 meters he realizes that he forgot his bag. So he returns to his house, then goes back to the city center. How many meters does he walk in total?","He walks 200 meters first then he returns to the house. So it makes 200 m + 200 m = <<200+200=400>>400 m
The city center is 500 meters away from his house so the total distance is 400 m + 500 m = <<500+400=900>>900 m
#### 900","Let's break it down step by step:

1. Robin walks 200 meters towards the city center.
2. He returns to his house, so he walks back 200 meters.
3. Then, he walks the entire distance to the city center again, which is 500 meters.

To find the total distance, add the distances together:
200 (first walk) + 200 (return) + 500 (final walk) = 900 meters.

Robin walks a total of 900 meters.",900,900.0,True
"Leticia, Scarlett, and Percy decide to eat at a Greek restaurant for lunch. The prices for their dishes cost $10, $13, and $17, respectively. If the trio gives the waiter a 10% tip, how much gratuity should the waiter receive in dollars?","The total bill comes to $10 + $13 + $17 = $<<10+13+17=40>>40.
The total gratuity earned comes to $40 * 0.1 = $<<40*0.1=4>>4
#### 4","To find the total cost of the meal, add the prices of the dishes: $10 + $13 + $17 = $40.

To calculate the 10% tip, multiply the total cost by 0.10: $40 * 0.10 = $4.

The waiter should receive $4 in gratuity.",4,4.0,True
"Jason is mixing a batch of black paint. He needs to add 2 grams of charcoal for every 30 ml of water. If he adds 900 ml of water, how much charcoal does he add?","First find how many ml of water Jason needs for 1 gram of charcoal: 30 ml / 2 grams = <<30/2=15>>15 ml/g
Then divide the amount of water Jason uses by the amount of water per gram of charcoal to find how much charcoal he uses: 900 ml / 15 ml/g = <<900/15=60>>60 g
#### 60","To find out how much charcoal Jason needs, we need to divide the amount of water by 30 ml and multiply the result by 2 grams. 

900 ml / 30 ml = 30
30 * 2 grams = 60 grams

So, Jason needs 60 grams of charcoal for 900 ml of water.",60,900.0,False
"Kate has to fill 52 balloons for the party. Each balloon holds 5 gallons of air. For the first 10 minutes, she can fill the balloons at a rate of 8 gallons of air per minute. For the next five minutes, she fills them at half that rate. After that, she fills the rest of the balloons at a rate of 2 gallons of air per minute. How many minutes will it take her to fill all of the balloons?","She needs to fill a total of 52 * 5 = <<52*5=260>>260 gallons of air.
In the first ten minutes, she fills 8 * 10 = <<8*10=80>>80 gallons of air.
For the next five minutes, she fills 8 / 2 * 5 = <<8/2*5=20>>20 gallons of air.
That leaves her with 260 - 80 - 20 = <<260-80-20=160>>160 gallons of air to fill.
It will take her 160 / 2 = <<160/2=80>>80 more minutes to fill the rest of the balloons.
The total time to fill all of the balloons is 10 + 5 + 80 = <<10+5+80=95>>95 minutes.
#### 95","To find out how many minutes it will take to fill all the balloons, we need to calculate the total amount of air needed and divide it by the rate at which Kate fills the balloons after each time period.

Total balloons: 52
Air per balloon: 5 gallons

Total air needed: 52 * 5 = 260 gallons

First 10 minutes: 8 gallons/minute * 10 minutes = 80 gallons
Remaining air: 260 - 80 = 180 gallons

Next 5 minutes: 8 / 2 = 4 gallons/minute * 5 minutes = 20 gallons
Remaining air: 180 - 20 = 160 gallons

Last 20 minutes: 2 gallons/minute * 20 minutes = 40 gallons
Remaining air: 160 - 40 = 120 gallons

Since 40 gallons are filled in the last 20 minutes, and 120 gallons are left, it will take Kate 120 / 2 = 60 minutes to fill the rest of the balloons.

Total time: 10 minutes + 5 minutes + 60 minutes = 75 minutes

The answer is 75 minutes.",95,75.0,False
James has 20 pairs of red socks and half as many black socks.  He has twice as many white socks as red and black combined.  How many total socks does he have combined?,"He has 20/2=<<20/2=10>>10 black socks
So he has 20+10=<<20+10=30>>30 black and red socks
So he has 30*2=<<30*2=60>>60 white socks
So he has 60+30=<<60+30=90>>90 total socks
#### 90","James has 20 pairs of red socks, which is 20 * 2 = 40 red socks.

He has half as many black socks as red socks, so he has 40 / 2 = 20 black socks.

James has twice as many white socks as red and black combined, so he has 2 * (40 + 20) = 2 * 60 = 120 white socks.

To find the total number of socks, add the number of red, black, and white socks together: 40 (red) + 20 (black) + 120 (white) = 180 socks.

The answer is 180.",90,180.0,False
"It is the rainy season in central Texas.  It rained for 7 hours on Monday at a rate of 1 inch per hour.  On Tuesday, it rained for 4 hours at a rate of 2 inches per hour, and on Wednesday, it rained for 2 hours at a rate of twice that of the previous day.  What is the total combined rainfall, in inches, for these three days?","On Monday, 7 hours of rain at a rate of 1 inch per hour is 7*1=<<7*1=7>>7 inches of rain.
On Tuesday, 4 hours of rain at a rate of 2 inches per hour is 4*2=<<4*2=8>>8 inches of rain.
Twice the rate of Tuesday is 2*2=<<2*2=4>>4 inches per hour.
Wednesday, 2 hours of rain at a rate of 4 inches per hour is 2*4=<<2*4=8>>8 inches of rain.
The combined total of the rainfall for these three days is 7+8+8=<<7+8+8=23>>23 inches of rain.
#### 23","To find the total combined rainfall, let's calculate the amount of rainfall for each day:

Monday: 7 hours * 1 inch per hour = 7 inches

Tuesday: 4 hours * 2 inches per hour = 8 inches

Wednesday: 2 hours * 2 * 1 inch per hour (twice the previous day's rate) = 4 inches

Now, let's add the rainfall for all three days:
7 (Monday) + 8 (Tuesday) + 4 (Wednesday) = 19 inches

The total combined rainfall is 19 inches.",23,19.0,False
"Cloud 9 Diving Company has taken individual bookings worth $12,000 and group bookings worth $16,000. Some people have cancelled at the last minute. $1600 has had to be returned to them. How much money has the sky diving company taken altogether?","Cloud 9 earned $12,000 + $16,000 = $<<12000+16000=28000>>28,000 from bookings.
After returning money due to cancellations, they had a final total of $28,000 - $1600 = $<<28000-1600=26400>>26,400.
#### 26400","To find the total amount of money taken by the company, we need to add the individual bookings and group bookings. 

$12,000 (individual bookings) + $16,000 (group bookings) = $28,000

However, $1600 was returned due to cancellations. So, we need to subtract this amount from the total.

$28,000 - $1600 = $26,400

The company has taken a total of $26,400.",26400,26400.0,True
"Yasna has two books. One book is 180 pages long, and the other book is 100 pages long. If Yasna wants to finish both of the books in two weeks, how many pages will Yasna need to read every day, if she reads an equal number of pages each day?","The total number of pages is 180 + 100 = <<180+100=280>>280 pages
The number of pages Yasna needs to read every day for two weeks is 280 / 14 = <<280/14=20>>20 pages
#### 20","To find the total number of pages Yasna needs to read, we add the page lengths of the two books: 180 + 100 = 280 pages.

Since Yasna wants to finish both books in two weeks, we need to find out how many days she has to read. There are 7 days in a week, so for two weeks, it's 7 * 2 = 14 days.

Now, we divide the total number of pages by the number of days: 280 pages / 14 days = 20 pages per day.

The answer is 20 pages per day.",20,20.0,True
Joseph drives his car at 50 mph for 2.5 hours. Kyle drives his car at 62 mph for 2 hours. How many more miles does Joseph drive than Kyle?,"Joseph travels for 50 * 2.5 = <<50*2.5=125>>125 miles.
Kyle travels for 62 * 2 = <<62*2=124>>124 miles.
Joseph drives for 125 - 124 = <<125-124=1>>1 mile more than Kyle.
#### 1","To find the distance each person drives, we need to multiply the speed by the time.

Joseph's distance: 50 mph * 2.5 hours = 125 miles

Kyle's distance: 62 mph * 2 hours = 124 miles

To find out how many more miles Joseph drives than Kyle, we subtract Kyle's distance from Joseph's distance: 125 - 124 = 1 mile

Joseph drives 1 mile more than Kyle.",1,1.0,True
"Claire is scheduling her day. She has four hours to clean and two hours to cook, then divides the rest of her working day equally between crafting and tailoring. She then sleeps eight hours. If all of this takes place within one day, how many hours did Claire spend crafting?","We know Claire has spent a total of 24 hours in a day - 4 hours cleaning - 2 hours cooking - 8 hours sleeping = 10 hours crafting and tailoring.
Since she split her time equally, she must have spent 10 hours * 0.5 = <<10*0.5=5>>5 hours crafting.
#### 5","Claire has 24 hours in a day. 

She spends 4 hours cleaning and 2 hours cooking, so that's 4 + 2 = 6 hours. 

She sleeps 8 hours, so that's 8 hours. 

6 hours (cleaning and cooking) + 8 hours (sleep) = 14 hours. 

Now, let's subtract the time already spent from the total hours in the day: 
24 hours - 14 hours = 10 hours.

Since Claire divides the rest of her day equally between crafting and tailoring, she will spend half of the remaining time on each activity. 
10 hours / 2 = 5 hours. 

So, Claire spent 5 hours crafting.",5,5.0,True
Josette bought 3 bottles of mineral water for €1.50. How much will four bottles cost?,"A bottle costs 1.50 € / 3 = <<1.50/3=0.50>>0.50 €.
So, four bottles cost 0.50 € * 4 = <<0.50*4=2>>2 €.
#### 2","To find out how much one bottle costs, we divide the total cost by the number of bottles: 
€1.50 / 3 bottles = €0.50 per bottle.

Now, we multiply the cost per bottle by the number of bottles Josette wants to buy: 
€0.50 * 4 bottles = €2.

The answer is €2.",2,2.0,True
"In a car dealership, Fiona worked for 40 hours a week, John for 30 hours, and Jeremy for 25 hours. If the employees are paid $20 per hour, how much money does their boss spend paying all of them every month?","Fiona earns 40 hours/week * $20/hour = $<<40*20=800>>800/week
So she earns $800/week * 4 weeks/month = $3200/month
John earns 30 hours/week * $20/hour = $<<30*20=600>>600/week
So he earns $600/week * 4 weeks/month = $<<600*4=2400>>2400/month
Jeremy earns 25 hours * $20/hour = $<<25*20=500>>500/week
So he earns $500/week * 4 weeks/month = $2000/month
Overall their boss has to spend $3200/month + $2400/month + $2000/month = $<<3200+2400+2000=7600>>7600/month
#### 7600","To find the total amount spent on the employees, we need to calculate their total weekly pay and then multiply it by the number of weeks in a month.

Fiona: 40 hours/week * $20/hour = $800/week
John: 30 hours/week * $20/hour = $600/week
Jeremy: 25 hours/week * $20/hour = $500/week

Total weekly pay: $800 + $600 + $500 = $1900

Since there are approximately 4 weeks in a month, the total monthly pay would be:
$1900/week * 4 weeks/month = $7600/month

The answer is $7600.",7600,7600.0,True
Julia has $40. She spends half of her money to buy a new game for her phone. She spends a quarter of what she has left on in-game purchases. How much money does she have left?,"Julia spend $40 / 2 = $<<40/2=20>>20 on the game.
After buying the game, she has $40 - $20 = $<<40-20=20>>20 left.
She spent $20 / 4 = $<<20/4=5>>5 on in-game purchases.
She has $20 - $5 = $<<20-5=15>>15 left.
#### 15","Julia starts with $40. She spends half of it on a new game, which is $40 / 2 = $20. 

Now, she has $40 - $20 = $20 left.

Then, she spends a quarter of the remaining amount on in-game purchases, which is $20 / 4 = $5.

Now, she has $20 - $5 = $15 left.

The answer is $15.",15,15.0,True
"A neighborhood association decided to plant a tree on every street. There are eighteen streets in the neighborhood. The association wanted every other tree to be a fruit tree, and they agreed to plant equal numbers of plum, pear, and apricot trees. How many of each kind of tree will they plant?","Every other tree is half the trees, so there will be 18 / 2 = <<18/2=9>>9 fruit trees planted.
The association is planting three kinds of fruit trees, so they will plant 9 / 3 = <<9/3=3>>3 of each kind of tree.
#### 3","Since there are 18 streets, and they want every other tree to be a fruit tree, they will plant trees on 9 streets (since 18 is an even number, and dividing it by 2 gives 9).

To divide the trees equally among plum, pear, and apricot trees, we need to divide 9 by 3. 

9 / 3 = 3

So, they will plant 3 plum trees, 3 pear trees, and 3 apricot trees. The answer is 3 of each kind.",3,3.0,True
Becky has 50 necklaces in her jewelry collection. 3 of the necklaces have broken beads so she collects the unbroken beads for crafting and throws the other parts of the 3 the necklaces out. Becky buys 5 new necklaces that week. She decides to give 15 of her old necklaces to her friends as gifts. How many necklaces does she own now?,"Becky started with 50 necklaces and then got rid of 3, 50 - 3 = <<50-3=47>>47 necklaces.
Becky buys 5 new necklaces that week, 47 + 5 = <<47+5=52>>52 necklaces.
She gives 17 of her necklaces as gifts to friends, 52 - 15 = <<37=37>>37 necklaces Becky owns now.
#### 37","Initially, Becky has 50 necklaces. 3 of the necklaces have broken beads, so she throws those out. That leaves her with 50 - 3 = 47 necklaces.

She buys 5 new necklaces, so now she has 47 + 5 = 52 necklaces.

Then, she gives 15 necklaces to her friends as gifts. So, she now has 52 - 15 = 37 necklaces.

The answer is 37.",37,37.0,True
"Bess and Holly are playing Frisbee at the park. Bess can throw the Frisbee as far as 20 meters and she does this 4 times. Holly can only throw the Frisbee as far as 8 meters and she does this 5 times. Each time Bess throws a Frisbee, she throws it back to her original position. Holly leaves her Frisbee where it lands every time she throws it. In total, how many meters have the thrown Frisbees traveled?","Bess throws the Frisbee out 4 times * 20 meters each time = <<4*20=80>>80 meters.
She then throws it back which doubles the distance traveled to 80 meters * 2 = <<80*2=160>>160 meters.
Holly throws the Frisbee out 5 times * 8 meters = <<5*8=40>>40 meters.
So in total, Holly and Bess have thrown the Frisbees 160 + 40 = <<160+40=200>>200 meters.
#### 200","To find the total distance traveled by the Frisbees, we need to calculate the distance for each throw and add them together.

Bess throws the Frisbee 20 meters and back 4 times, so the total distance traveled by Bess' Frisbee is:
20 * 2 = 40 meters (for each throw)
Since Bess throws 4 times, the total distance traveled by Bess' Frisbee is:
40 * 4 = 160 meters

Holly throws the Frisbee 8 meters and leaves it there 5 times, so the total distance traveled by Holly's Frisbee is:
8 * 1 = 8 meters (since it stays in one place)
Since Holly throws 5 times, the total distance traveled by Holly's Frisbee is:
8 * 5 = 40 meters

Now, we add the total distance traveled by Bess' Frisbee and Holly's Frisbee:
160 + 40 = 200 meters

The answer is 200.",200,200.0,True
"In a school garden, there are flowers in different colors. In total there are 96 flowers of four colors: green, red, blue, and yellow. There are 9 green flowers and three times more red flowers. Blue flowers make up to 50% of the total flower count. How many yellow flowers are there?","There are 3 * 9 = <<3*9=27>>27 red flowers.
50/100 * 96 = <<50/100*96=48>>48 flowers are blue.
Knowing that, there are 96 - 48 - 27 - 9 = <<96-48-27-9=12>>12 yellow flowers in a school's garden.
#### 12","To find out how many yellow flowers there are, we first need to find out the total number of blue flowers. Since blue flowers make up 50% of the total flower count, we multiply 96 by 0.5.

96 * 0.5 = 48 blue flowers

We know there are 9 green flowers. The problem states there are three times more red flowers than green flowers, so we multiply the number of green flowers by 3.

9 * 3 = 27 red flowers

Now, we add the number of blue, green, and red flowers to find out how many flowers are not yellow.

48 (blue) + 9 (green) + 27 (red) = 84 flowers

We subtract the total number of non-yellow flowers from the total number of flowers to find out how many yellow flowers there are.

96 - 84 = 12 yellow flowers

The answer is 12.",12,12.0,True
"Billy weighs 9 pounds more than Brad. Brad weighs 5 pounds more than Carl. If Carl weighs 145 pounds, how much does Billy weigh, in pounds?","Brad weighs 145+5=<<145+5=150>>150 pounds.
Billy weighs 150+9=<<150+9=159>>159 pounds.
#### 159","First, let's find Brad's weight. Since Brad weighs 5 pounds more than Carl, and Carl weighs 145 pounds, Brad weighs 145 + 5 = 150 pounds.

Next, let's find Billy's weight. Since Billy weighs 9 pounds more than Brad, and Brad weighs 150 pounds, Billy weighs 150 + 9 = 159 pounds.

The answer is 159 pounds.",159,159.0,True
"Cappuccinos cost $2, iced teas cost $3, cafe lattes cost $1.5 and espressos cost $1 each. Sandy orders some drinks for herself and some friends. She orders three cappuccinos, two iced teas, two cafe lattes, and two espressos. How much change does she receive back for a twenty-dollar bill?","Find the total cost of the cappuccinos by multiplying the price by the quantity: 3 cappuccinos x $2/cappuccino = $<<3*2=6>>6
Then do the same for the iced teas: 2 iced teas x $3/tea = $<<2*3=6>>6
Then do the same for the cafe lattes: 2 lattes x $1.5/latte = $<<2*1.5=3>>3
Then do the same for the espressos: 2 espressos x $1 = $<<2*1=2>>2
In total Sandy pays $6 + $6 + $3 + $2 = $<<6+6+3+2=17>>17
Sandy will receive $20 - $17 = $<<20-17=3>>3 in change
#### 3","Let's calculate the total cost of the drinks:

- 3 cappuccinos: 3 x $2 = $6
- 2 iced teas: 2 x $3 = $6
- 2 cafe lattes: 2 x $1.5 = $3
- 2 espressos: 2 x $1 = $2

The total cost of the drinks is $6 + $6 + $3 + $2 = $17.

If Sandy pays with a $20 bill, she will receive $20 - $17 = $3 as change.",3,3.0,True
John gets lost on his way home.  His normal trip is 150 miles and would take him 3 hours.  He ends up driving 50 miles out of the way and has to get back on track.  How long did the trip take if he kept the same speed?,"His speed is 150/3=<<150/3=50>>50 mph
He was detoured 50*2=<<50*2=100>>100 miles
So that adds 100/50=<<100/50=2>>2 hours
So the total trip was 3+2=<<3+2=5>>5 hours
#### 5","First, we need to find John's normal speed. Since his normal trip is 150 miles and takes 3 hours, his speed is 150 miles / 3 hours = 50 miles per hour.

Since John drove 50 miles out of the way and then drove the same distance back, the total extra distance is 50 miles + 50 miles = 100 miles.

The total distance of the trip is now 150 miles + 100 miles = 250 miles.

The total time for the trip is 250 miles / 50 miles per hour = 5 hours.

The answer is 5 hours.",5,5.0,True
"Maddox and Theo both bought 3 Polaroid Cameras, each sold at $20 per camera from Amazon, and decided to sell them on eBay. Maddox sold his cameras at $28 each, while Theo sold his cameras at $23 each. How much more profit did Maddox get from the sale of his cameras than Theo?","The total cost of buying 3 cameras from Amazon for both Maddox and Theo was 3*$20=$<<3*20=60>>60
Maddox sold his cameras at $28 each, for a total of $28*3=$<<28*3=84>>84
Maddox made a profit of $84-$60=$<<84-60=24>>24 from the sale of his cameras.
Theo sold his cameras on eBay for $23*3=$<<23*3=69>>69
Theo made a profit of $69-$60=$<<69-60=9>>9
Maddox made $24-$9=$15 more profit than Theo from the sale of his cameras.
#### 15","To find the profit, first, we need to find the total cost and the total selling price for each person.

Maddox bought 3 cameras at $20 each:
Total cost: 3 x $20 = $60
Total selling price: 3 x $28 = $84
Profit: $84 - $60 = $24

Theo bought 3 cameras at $20 each:
Total cost: 3 x $20 = $60
Total selling price: 3 x $23 = $69
Profit: $69 - $60 = $9

To find out how much more profit Maddox made than Theo, we need to subtract Theo's profit from Maddox's profit:
$24 - $9 = $15

Maddox made $15 more profit than Theo.",15,15.0,True
